Circuito,Compuesto,Estado de pista,Duración Estimada (Vueltas),Dif. con C3 (s),Dif. con C2 (s),Dif. con C1 (s),Dif. con CI (s),Dif. con CW (s)
GP de Baréin 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Baréin 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Baréin 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Baréin 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Baréin 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Baréin 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Baréin 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Baréin 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Baréin 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Baréin 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Baréin 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Baréin 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Arabia Saudita 2025,C3,Seco,23.684210526315788,0.0,-0.479,-0.718,-4.26,-5.905
GP de Arabia Saudita 2025,C3,Lluvia,19.298245614035086,0.0,0.0,0.0,10.946,9.594999999999999
GP de Arabia Saudita 2025,C3,Lluvia Extrema,17.543859649122805,0.0,0.0,0.0,12.469999999999999,14.527
GP de Arabia Saudita 2025,C2,Seco,31.57894736842105,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Arabia Saudita 2025,C2,Lluvia,19.298245614035086,0.0,0.0,0.0,10.946,9.594999999999999
GP de Arabia Saudita 2025,C2,Lluvia Extrema,17.543859649122805,0.0,0.0,0.0,12.469999999999999,14.527
GP de Arabia Saudita 2025,C1,Seco,35.96491228070175,0.718,0.239,0.0,-3.542,-5.187
GP de Arabia Saudita 2025,C1,Lluvia,19.298245614035086,0.0,0.0,0.0,10.946,9.594999999999999
GP de Arabia Saudita 2025,C1,Lluvia Extrema,17.543859649122805,0.0,0.0,0.0,12.469999999999999,14.527
GP de Arabia Saudita 2025,CI,Seco,19.298245614035086,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Arabia Saudita 2025,CI,Lluvia,19.298245614035086,-10.946,-10.946,-10.946,0.0,-1.351
GP de Arabia Saudita 2025,CI,Lluvia Extrema,17.543859649122805,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Arabia Saudita 2025,CW,Seco,17.543859649122805,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Arabia Saudita 2025,CW,Lluvia,17.543859649122805,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Arabia Saudita 2025,CW,Lluvia Extrema,17.543859649122805,-14.527,-14.527,-14.527,-2.057,0.0
GP de Miami 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Miami 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Miami 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Miami 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Miami 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Miami 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Miami 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Miami 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Miami 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Miami 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Miami 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Miami 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Miami 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Miami 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Miami 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Emilia-Romaña 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Emilia-Romaña 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Emilia-Romaña 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Emilia-Romaña 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Emilia-Romaña 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Emilia-Romaña 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Emilia-Romaña 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Emilia-Romaña 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Emilia-Romaña 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Emilia-Romaña 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Emilia-Romaña 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Emilia-Romaña 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Emilia-Romaña 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Emilia-Romaña 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Emilia-Romaña 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Mónaco 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Mónaco 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Mónaco 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Mónaco 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Mónaco 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Mónaco 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Mónaco 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Mónaco 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Mónaco 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Mónaco 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Mónaco 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Mónaco 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Mónaco 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Mónaco 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Mónaco 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de España 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de España 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de España 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de España 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de España 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de España 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de España 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de España 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de España 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de España 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de España 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de España 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de España 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de España 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de España 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Canadá 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Canadá 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Canadá 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Canadá 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Canadá 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Canadá 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Canadá 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Canadá 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Canadá 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Canadá 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Canadá 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Canadá 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Canadá 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Canadá 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Canadá 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Austria 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Austria 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Austria 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Austria 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Austria 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Austria 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Austria 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Austria 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Austria 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Austria 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Austria 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Austria 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Austria 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Austria 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Austria 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Gran Bretaña 2025,C3,Seco,24.63157894736842,0.0,-0.479,-0.718,-4.26,-5.905
GP de Gran Bretaña 2025,C3,Lluvia,20.07017543859649,0.0,0.0,0.0,10.946,9.594999999999999
GP de Gran Bretaña 2025,C3,Lluvia Extrema,18.24561403508772,0.0,0.0,0.0,12.469999999999999,14.527
GP de Gran Bretaña 2025,C2,Seco,32.84210526315789,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Gran Bretaña 2025,C2,Lluvia,20.07017543859649,0.0,0.0,0.0,10.946,9.594999999999999
GP de Gran Bretaña 2025,C2,Lluvia Extrema,18.24561403508772,0.0,0.0,0.0,12.469999999999999,14.527
GP de Gran Bretaña 2025,C1,Seco,37.40350877192982,0.718,0.239,0.0,-3.542,-5.187
GP de Gran Bretaña 2025,C1,Lluvia,20.07017543859649,0.0,0.0,0.0,10.946,9.594999999999999
GP de Gran Bretaña 2025,C1,Lluvia Extrema,18.24561403508772,0.0,0.0,0.0,12.469999999999999,14.527
GP de Gran Bretaña 2025,CI,Seco,20.07017543859649,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Gran Bretaña 2025,CI,Lluvia,20.07017543859649,-10.946,-10.946,-10.946,0.0,-1.351
GP de Gran Bretaña 2025,CI,Lluvia Extrema,18.24561403508772,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Gran Bretaña 2025,CW,Seco,18.24561403508772,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Gran Bretaña 2025,CW,Lluvia,18.24561403508772,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Gran Bretaña 2025,CW,Lluvia Extrema,18.24561403508772,-14.527,-14.527,-14.527,-2.057,0.0
GP de Bélgica 2025,C3,Seco,20.842105263157894,0.0,-0.479,-0.718,-4.26,-5.905
GP de Bélgica 2025,C3,Lluvia,16.982456140350877,0.0,0.0,0.0,10.946,9.594999999999999
GP de Bélgica 2025,C3,Lluvia Extrema,15.438596491228068,0.0,0.0,0.0,12.469999999999999,14.527
GP de Bélgica 2025,C2,Seco,27.789473684210524,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Bélgica 2025,C2,Lluvia,16.982456140350877,0.0,0.0,0.0,10.946,9.594999999999999
GP de Bélgica 2025,C2,Lluvia Extrema,15.438596491228068,0.0,0.0,0.0,12.469999999999999,14.527
GP de Bélgica 2025,C1,Seco,31.649122807017545,0.718,0.239,0.0,-3.542,-5.187
GP de Bélgica 2025,C1,Lluvia,16.982456140350877,0.0,0.0,0.0,10.946,9.594999999999999
GP de Bélgica 2025,C1,Lluvia Extrema,15.438596491228068,0.0,0.0,0.0,12.469999999999999,14.527
GP de Bélgica 2025,CI,Seco,16.982456140350877,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Bélgica 2025,CI,Lluvia,16.982456140350877,-10.946,-10.946,-10.946,0.0,-1.351
GP de Bélgica 2025,CI,Lluvia Extrema,15.438596491228068,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Bélgica 2025,CW,Seco,15.438596491228068,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Bélgica 2025,CW,Lluvia,15.438596491228068,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Bélgica 2025,CW,Lluvia Extrema,15.438596491228068,-14.527,-14.527,-14.527,-2.057,0.0
GP de Hungría 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Hungría 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Hungría 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Hungría 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Hungría 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Hungría 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Hungría 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Hungría 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Hungría 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Hungría 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Hungría 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Hungría 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Hungría 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Hungría 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Hungría 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Países Bajos 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Países Bajos 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Países Bajos 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Países Bajos 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Países Bajos 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Países Bajos 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Países Bajos 2025,C1,Seco,41.0,0.718,0.239,0.0,-3.542,-5.187
GP de Países Bajos 2025,C1,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Países Bajos 2025,C1,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Países Bajos 2025,CI,Seco,22.0,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Países Bajos 2025,CI,Lluvia,22.0,-10.946,-10.946,-10.946,0.0,-1.351
GP de Países Bajos 2025,CI,Lluvia Extrema,20.0,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Países Bajos 2025,CW,Seco,20.0,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Países Bajos 2025,CW,Lluvia,20.0,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Países Bajos 2025,CW,Lluvia Extrema,20.0,-14.527,-14.527,-14.527,-2.057,0.0
GP de Italia 2025,C3,Seco,25.105263157894736,0.0,-0.479,-0.718,-4.26,-5.905
GP de Italia 2025,C3,Lluvia,20.45614035087719,0.0,0.0,0.0,10.946,9.594999999999999
GP de Italia 2025,C3,Lluvia Extrema,18.596491228070175,0.0,0.0,0.0,12.469999999999999,14.527
GP de Italia 2025,C2,Seco,33.473684210526315,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Italia 2025,C2,Lluvia,20.45614035087719,0.0,0.0,0.0,10.946,9.594999999999999
GP de Italia 2025,C2,Lluvia Extrema,18.596491228070175,0.0,0.0,0.0,12.469999999999999,14.527
GP de Italia 2025,C1,Seco,38.12280701754386,0.718,0.239,0.0,-3.542,-5.187
GP de Italia 2025,C1,Lluvia,20.45614035087719,0.0,0.0,0.0,10.946,9.594999999999999
GP de Italia 2025,C1,Lluvia Extrema,18.596491228070175,0.0,0.0,0.0,12.469999999999999,14.527
GP de Italia 2025,CI,Seco,20.45614035087719,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Italia 2025,CI,Lluvia,20.45614035087719,-10.946,-10.946,-10.946,0.0,-1.351
GP de Italia 2025,CI,Lluvia Extrema,18.596491228070175,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Italia 2025,CW,Seco,18.596491228070175,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Italia 2025,CW,Lluvia,18.596491228070175,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Italia 2025,CW,Lluvia Extrema,18.596491228070175,-14.527,-14.527,-14.527,-2.057,0.0
GP de Azerbaiyán 2025,C3,Seco,24.157894736842103,0.0,-0.479,-0.718,-4.26,-5.905
GP de Azerbaiyán 2025,C3,Lluvia,19.684210526315788,0.0,0.0,0.0,10.946,9.594999999999999
GP de Azerbaiyán 2025,C3,Lluvia Extrema,17.894736842105264,0.0,0.0,0.0,12.469999999999999,14.527
GP de Azerbaiyán 2025,C2,Seco,32.21052631578947,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Azerbaiyán 2025,C2,Lluvia,19.684210526315788,0.0,0.0,0.0,10.946,9.594999999999999
GP de Azerbaiyán 2025,C2,Lluvia Extrema,17.894736842105264,0.0,0.0,0.0,12.469999999999999,14.527
GP de Azerbaiyán 2025,C1,Seco,36.68421052631579,0.718,0.239,0.0,-3.542,-5.187
GP de Azerbaiyán 2025,C1,Lluvia,19.684210526315788,0.0,0.0,0.0,10.946,9.594999999999999
GP de Azerbaiyán 2025,C1,Lluvia Extrema,17.894736842105264,0.0,0.0,0.0,12.469999999999999,14.527
GP de Azerbaiyán 2025,CI,Seco,19.684210526315788,4.26,3.7809999999999997,3.542,0.0,-1.6450000000000005
GP de Azerbaiyán 2025,CI,Lluvia,19.684210526315788,-10.946,-10.946,-10.946,0.0,-1.351
GP de Azerbaiyán 2025,CI,Lluvia Extrema,17.894736842105264,-12.469999999999999,-12.469999999999999,-12.469999999999999,0.0,2.057
GP de Azerbaiyán 2025,CW,Seco,17.894736842105264,5.905,5.426,5.187,1.6450000000000005,0.0
GP de Azerbaiyán 2025,CW,Lluvia,17.894736842105264,-9.594999999999999,-9.594999999999999,-9.594999999999999,1.351,0.0
GP de Azerbaiyán 2025,CW,Lluvia Extrema,17.894736842105264,-14.527,-14.527,-14.527,-2.057,0.0
GP de Singapur 2025,C3,Seco,27.0,0.0,-0.479,-0.718,-4.26,-5.905
GP de Singapur 2025,C3,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Singapur 2025,C3,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
GP de Singapur 2025,C2,Seco,36.0,0.479,0.0,-0.239,-3.7809999999999997,-5.426
GP de Singapur 2025,C2,Lluvia,22.0,0.0,0.0,0.0,10.946,9.594999999999999
GP de Singapur 2025,C2,Lluvia Extrema,20.0,0.0,0.0,0.0,12.469999999999999,14.527
